"filename", "language", "C++", "comment", "blank", "total"
"/home/zard/college/sdf/sem 2/pbl/teacher.cpp", "C++", 2, 13, 9, 24
"/home/zard/college/sdf/sem 2/pbl/teacher.h", "C++", 0, 6, 4, 10
"/home/zard/college/sdf/sem 2/pbl/totAvMarks.cpp", "C++", 0, 17, 4, 21
"/home/zard/college/sdf/sem 2/pbl/totAvMarks.h", "C++", 0, 6, 4, 10
"Total", "-", 2, 42, 21, 65
